X,Y
815,66.9345
816,68.2742
817,69.6632
818,71.1898
819,72.6214
820,74.4118
821,75.9829
822,77.6233
823,79.0171
824,80.6499
825,82.0882
826,83.6584
827,84.8197
828,86.5038
829,87.9345
830,89.3615
831,90.8975
832,92.1025
833,93.7600
834,95.0436
835,96.5152
836,97.8861
837,99.3757
838,100.5607
839,101.4535
840,103.0133
841,103.7306
842,104.6992
843,105.6822
844,106.2913
845,107.4649
846,108.0465
847,108.7865
848,109.5285
849,110.0892
850,110.8188
851,110.7818
852,110.8596
853,110.9611
854,111.4326
855,111.3055
856,111.3899
857,111.5057
858,111.4658
859,111.2040
860,110.8548
861,110.5199
862,110.3918
863,109.7780
864,109.4706
865,109.0930
866,108.8340
867,108.6205
868,108.6063
869,108.1129
870,108.1822
871,108.4279
872,108.4924
873,108.6015
874,108.4602
875,108.5256
876,108.3548
877,108.5180
878,108.9108
879,109.0142
880,109.1746
881,109.7457
882,109.3994
883,109.8482
884,109.9962
885,110.0825
886,110.3216
887,110.5958
888,110.6309
889,110.8254
890,110.9364
891,111.1575
892,111.2638
893,111.1888
894,110.9734
895,110.7865
896,110.7495
897,110.2989
898,109.9459
899,109.5987
900,109.4791
901,109.3378
902,108.8767
903,108.6641
904,108.6689
905,108.5104
906,108.0949
907,107.8444
908,107.1717
909,106.5816
910,105.6917
911,105.1480
912,104.5683
913,104.2106
914,103.5019
915,103.0370
916,102.2770
917,101.6717
918,101.0218
919,100.3842
920,99.6300
921,99.1205
922,98.2192
923,97.4488
924,96.5930
925,95.5636
926,94.9459
927,93.9886
928,93.3548
929,92.6736
930,91.7989
931,91.0465
932,90.3169
933,89.7324
934,88.6158
935,87.7287
936,86.9336
937,85.8083
938,84.9023
939,83.7106
940,82.2457
941,81.4004
942,80.2770
943,79.0237
944,77.8302
945,76.8444
946,75.4345
947,74.0636
948,72.3890
949,70.9972
950,69.1034
951,67.4288
952,65.7913
953,63.9915
954,62.4497
955,61.4089
956,59.8691
957,58.3083
958,56.8956
959,55.5712
960,54.0417
961,52.7106
962,51.6025
963,50.2087
964,49.0057
965,47.6879
966,46.6964
967,46.1271
968,45.0323
969,44.2865
970,43.8197
971,43.4962
972,42.8368
973,42.4744
974,42.1907
975,42.1053
976,41.9355
977,41.8691
978,41.7552
979,41.6898
980,41.5493
981,41.6300
982,41.4981
983,41.4222
984,41.6167
985,41.7040
986,41.9772
987,42.3235
988,42.6480
989,42.9962
990,43.1376
991,43.3197
992,43.2486
993,43.4298
994,43.6442
995,43.5740
996,43.8254
997,43.7315
998,43.8729
999,44.1044
1000,44.0892
1001,44.1205
1002,44.1879
1003,44.3235
1004,44.3577
1005,44.4677
1006,44.5398
1007,44.7372
1008,44.5579
1009,44.6575
1010,44.8102
1011,44.7600
1012,44.9127
1013,45.0085
1014,45.1129
1015,45.3254
1016,45.5085
1017,45.4772
1018,45.4639
1019,45.6822
1020,45.6679
1021,45.6888
1022,45.8985
1023,46.0398
1024,46.3083
1025,46.5180
1026,46.7856
1027,46.8757
1028,47.0380
1029,47.3662
1030,47.6442
1031,48.1964
1032,48.5313
1033,49.0057
1034,49.4668
1035,50.0863
1036,50.7448
1037,51.2201
1038,52.0218
1039,52.5427
1040,53.2932
1041,54.1565
1042,54.9032
1043,55.9573
1044,56.7751
1045,58.0702
1046,58.8852
1047,59.9535
1048,61.0285
1049,62.1328
1050,63.6205
1051,64.7372
1052,66.0512
1053,67.2552
1054,68.7989
1055,70.0645
1056,71.2704
1057,72.6632
1058,74.0294
1059,75.7960
1060,77.0190
1061,78.5123
1062,80.0778
1063,81.6139
1064,82.7211
1065,83.9336
1066,85.4611
1067,86.8833
1068,88.1214
1069,89.6347
1070,90.9972
1071,92.4905
1072,93.6727
1073,95.2116
1074,96.1176
1075,97.5588
1076,98.8529
1077,99.7742
1078,101.4981
1079,102.5417
1080,103.8757
1081,104.9516
1082,105.9194
1083,106.9535
1084,107.8899
1085,108.4592
1086,109.4108
