X,Y
1052,108
1053,107
1054,108
1055,109
1056,100
1057,103
1058,100
1059,98
1060,98
1061,107
1062,97
1063,100
1064,99
1065,106
1066,98
1067,92
1068,103
1069,97
1070,102
1071,98
1072,95
1073,98
1074,92
1075,97
1076,87
1077,91
1078,88
1079,89
1080,89
1081,88
1082,86
1083,85
1084,84
1085,82
1086,82
1087,84
1088,78
1089,71
1090,78
1091,72
1092,75
1093,73
1094,72
1095,71
1096,69
1097,59
1098,64
1099,63
1100,58
1101,57
1102,60
1103,54
1104,54
1105,56
1106,50
1107,53
1108,52
1109,48
1110,48
1111,51
1112,48
1113,43
1114,51
1115,44
1116,46
1117,44
1118,43
1119,38
1120,44
1121,45
1122,40
1123,44
1124,43
1125,39
1126,40
1127,42
1128,38
1129,40
1130,39
1131,39
1132,44
1133,43
1134,43
1135,38
1136,39
1137,43
1138,46
1139,43
1140,47
1141,42
1142,44
1143,48
1144,43
1145,48
1146,43
1147,43
1148,44
1149,46
1150,44
1151,43
1152,47
1153,43
1154,45
1155,45
1156,46
1157,49
1158,47
1159,45
1160,43
1161,41
1162,46
1163,50
1164,48
1165,44
1166,52
1167,51
1168,46
1169,44
1170,57
1171,50
1172,51
1173,48
1174,47
1175,48
1176,54
1177,52
1178,51
1179,52
1180,56
1181,54
1182,46
1183,55
1184,56
1185,59
1186,51
1187,65
1188,55
1189,62
1190,57
1191,66
1192,55
1193,64
1194,63
1195,69
1196,68
